,Name,Pos.,Height,From,To,Seasons
0,Precious Achiuwa,C/PF,2.06/ 6'9'',2020,2021,1
1,Steven Adams,C,2.11/ 6'11'',2013,2021,8
2,Bam Adebayo,C,2.06/ 6'9'',2017,2021,4
4,LaMarcus Aldridge,C/PF,2.11/ 6'11'',2006,2021,15
5,Nickeil Alexander-Walker,SG/PG,1.96/ 6'5'',2019,2021,2
6,Grayson Allen,SG,1.93/ 6'4'',2018,2021,3
7,Jarrett Allen,C,2.11/ 6'11'',2017,2021,4
9,Al-Farouq Aminu,PF/SF,2.03/ 6'8'',2010,2021,11
10,Kyle Anderson,SF/PF,2.06/ 6'9'',2014,2021,7
11,Giannis Antetokounmpo,PF,2.11/ 6'11'',2013,2021,8
12,Thanasis Antetokounmpo,PF/SF,1.98/ 6'6'',2015,2021,3
13,Carmelo Anthony,PF/SF,2.03/ 6'8'',2003,2021,18
14,Cole Anthony,PG,1.91/ 6'3'',2020,2021,1
15,OG Anunoby,SF/PF,2.01/ 6'7'',2017,2021,4
16,Ryan Arcidiacono,PG,1.91/ 6'3'',2017,2021,4
17,Trevor Ariza,SF/PF,2.03/ 6'8'',2004,2021,17
18,D.J. Augustin,PG,1.80/ 5'11'',2008,2021,13
19,Deni Avdija,PF/SF,2.05/ 6'9'',2020,2021,1
21,Deandre Ayton,C,2.11/ 6'11'',2018,2021,3
22,Udoka Azubuike,C,2.13/ 7'0'',2020,2021,1
0,Dwayne Bacon,SF/SG,2.01/ 6'7'',2017,2021,4
1,Marvin Bagley III,PF/C,2.11/ 6'11'',2018,2021,3
2,LaMelo Ball,PG/SG,2.01/ 6'7'',2020,2021,1
3,Lonzo Ball,PG,1.98/ 6'6'',2017,2021,4
4,Mo Bamba,C,2.13/ 7'0'',2018,2021,3
5,Desmond Bane,SF/SG,1.98/ 6'6'',2020,2021,1
7,Harrison Barnes,SF/PF,2.03/ 6'8'',2012,2021,9
9,RJ Barrett,SF/SG,1.98/ 6'6'',2019,2021,2
10,Will Barton,SG/SF,1.96/ 6'5'',2012,2021,9
12,Keita Bates-Diop,SF/PF,2.03/ 6'8'',2018,2021,3
13,Nicolas Batum,PF/SF,2.04/ 6'8'',2008,2021,13
14,Kent Bazemore,SF/SG,1.93/ 6'4'',2012,2021,9
15,Darius Bazley,PF,2.03/ 6'8'',2019,2021,2
16,Bradley Beal,SG/SF,1.91/ 6'3'',2012,2021,9
17,Malik Beasley,SG/SF,1.93/ 6'4'',2016,2021,5
18,Jordan Bell,PF/C,2.03/ 6'8'',2017,2021,4
19,DeAndre' Bembry,SF,1.96/ 6'5'',2016,2021,5
20,Davis Bertans,SF/PF,2.08/ 6'10'',2016,2021,5
21,Patrick Beverley,PG,1.85/ 6'1'',2012,2021,9
22,Saddiq Bey,SF/PF,2.03/ 6'8'',2020,2021,1
23,Khem Birch,C,2.06/ 6'9'',2017,2021,4
24,Goga Bitadze,C,2.11/ 6'11'',2019,2021,2
25,Nemanja Bjelica,C/PF,2.09/ 6'10'',2015,2021,6
26,Tarik Black,C,2.06/ 6'9'',2014,2018,4
27,Eric Bledsoe,PG/SG,1.85/ 6'1'',2010,2021,11
28,Keljin Blevins,SG/PG,1.98/ 6'6'',2020,2021,1
29,Bogdan Bogdanovic,SG/SF,1.98/ 6'6'',2017,2021,4
30,Bojan Bogdanovic,SF/PF,2.03/ 6'8'',2014,2021,7
31,Bol Bol,C/PF,2.18/ 7'2'',2019,2021,2
33,Isaac Bonga,SF/PF,2.03/ 6'8'',2018,2021,3
34,Devin Booker,SG,1.96/ 6'5'',2015,2021,6
36,Chris Boucher,C/PF,2.06/ 6'9'',2017,2021,4
38,Brian Bowen,SF/SG,1.98/ 6'6'',2019,2021,2
39,Avery Bradley,PG/SG,1.88/ 6'2'',2010,2021,11
40,Tony Bradley,C,2.08/ 6'10'',2017,2021,4
41,Ignas Brazdeikis,SF/PF,1.98/ 6'6'',2019,2021,2
42,Mikal Bridges,SF/SG,1.98/ 6'6'',2018,2021,3
43,Miles Bridges,PF/SF,1.98/ 6'6'',2018,2021,3
44,Oshae Brissett,PF,2.01/ 6'7'',2019,2021,2
45,Malcolm Brogdon,PG/SG,1.96/ 6'5'',2016,2021,5
46,Armoni Brooks,PG/SG,1.91/ 6'3'',2020,2021,1
47,Dillon Brooks,SG/SF,2.01/ 6'7'',2017,2021,4
48,Bruce Brown,SG/SF,1.93/ 6'4'',2018,2021,3
49,Charlie Brown,SG/SF,1.98/ 6'6'',2019,2021,2
51,Jaylen Brown,SF/SG,1.98/ 6'6'',2016,2021,5
52,Moses Brown,C,2.18/ 7'2'',2019,2021,2
53,Sterling Brown,SG/SF,1.96/ 6'5'',2017,2021,4
54,Troy Brown,PF/SF,1.98/ 6'6'',2018,2021,3
55,Jalen Brunson,PG/SG,1.85/ 6'1'',2018,2021,3
56,Elijah Bryant,SG,1.96/ 6'5'',2020,2021,1
57,Thomas Bryant,C,2.08/ 6'10'',2017,2021,4
58,Reggie Bullock,SF/SG,1.98/ 6'6'',2013,2021,8
59,Trey Burke,PG,1.84/ 6'0'',2013,2021,8
60,Alec Burks,SF/SG,1.98/ 6'6'',2011,2021,10
62,Jimmy Butler,SF/PF,2.01/ 6'7'',2011,2021,10
0,Devontae Cacok,PF/C,2.01/ 6'7'',2019,2021,2
1,Kentavious Caldwell-Pope,SG/SF,1.96/ 6'5'',2013,2021,8
2,Facundo Campazzo,PG,1.81/ 5'11'',2020,2021,1
3,Vlatko Cancar,SF/PF,2.04/ 6'8'',2019,2021,2
